Serial_Number,HMDB_ID,Compound,name_short,Derivatized_compound_name,Parent_Mass_of_derivatized_compound,RT,RI,MZ,Intensity,Intercept,Slope
34,HMDB00254,Succinic acid,,,,16.778,1326,40.3 41.1 42.2 43.1 44.2 45.1 46.1 47.1 48 49 50.1 50.9 51.4 51.9 53 54.1 55.1 56.1 57.1 58.1 59.1 60.2 61.1 62.1 63.1 63.6 65.2 66 67 67.9 69 69.9 70.4 71.1 72.1 73.1 74.1 75.1 76 77 78 79 81.8 82.3 83.1 83.9 85 86.2 87 88.9 89.9 90.3 90.9 95 97 99 100.1 101.1 101.9 102.9 104.2 105.1 106.1 109.8 111.1 113 113.9 115 115.9 117 118 118.9 120 120.5 121.1 122 127 129 130.1 131 132.1 133 134 135 136.7 137.1 142.9 143.9 144.9 145.9 147.1 148.1 149 150.1 150.8 151.3 152 155.1 155.7 157.2 160.1 160.7 162.1 162.8 165.2 166.3 167 167.9 168.7 170.9 172 173.1 174.2 175.2 176.1 176.9 184.8 185.2 188.3 190.3 199.2 203.1 207 210.9 217.1 218 219 220.1 221.9 223.3 223.9 231.1 232.2 240 240.9 241.8 247.1 248.1 249 250.3 254.2 262.1 264.4 265.7 267.1 280.7 282 282.9 284.2 294.9 296 341.3 343.2 345.1 354.7 355.2 416.5 479.3,632 1356 7135 46560 16408 115328 9771 50128 1946 1819 784 1686 1666 2118 3467 4976 62616 17288 9612 22440 36344 9484 30008 1698 3074 336 953 259 240 234 1190 2309 3786 8833 19312 291520 37272 339008 20640 12144 764 1792 1033 1035 1094 1968 7664 10977 5286 4315 342 245 1258 233 480 5205 1374 4526 775 2067 1251 4004 167 362 1999 5828 679 11493 8275 6299 286 3740 412 180 268 318 864 108152 15837 13520 2364 21504 3566 1052 240 542 3013 194 1352 2610 505344 79832 37536 3825 1161 722 798 410 1211 3814 238 712 599 835 327 464 655 563 183 1166 19264 14385 2000 1920 1268 411 293 388 550 1391 168 3905 767 230 1203 3877 2181 1164 322 670 152 1135 297 4972 835 352 52752 10759 5311 519 274 1944 195 187 377 253 676 606 406 267 731 1410 320 867 303 238 214 298 ,0.0041,0.897
9,HMDB00187,Serine (3TMS),SER,"N,o,o'-Tris-(trimethylsilyl)serine",321,22.093,1375,43.1 44.1 45.1 47 58.1 59 73.1 74 75 83.1 84 85 85.95 87.05 88.05 89.05 92.15 92.95 93.85 96.95 97.95 99.05 100.05 101.15 102.05 103.05 104.05 105.15 113.05 114.05 115.05 116.05 117.05 118.05 119.05 128.05 129.95 131.1 132 133.1 134.1 135 143 144.1 145.9 147.1 148.1 149 158.1 160.1 162.7 172 174 174.7 175.2 188.15 189.05 190.05 191.15 204.15 205.15 206.05 207.05 216.05 218.05 219.05 220.15 221.05 278.15 279.15 280.15 281.05 306.05 307.05,5995 6089 17600 3123 2935 5511 67480 6097 9478 170 437 542 670 724 1009 943 195 164 243 191 291 276 11890 2254 926 2774 292 394 321 1326 1168 2704 1681 316 665 254 659 1344 1322 2776 509 290 229 241 150 7426 1214 642 316 266 156 545 843 156 266 3620 1021 513 228 32664 5795 2685 594 698 16294 3241 1175 296 1260 235 193 206 647 265,-0.1204,2.4232
10,HMDB00167,Threonine (3TMS),THR,threonine 3TMS,335,22.588,1401,43.1 44.1 45.1 47.1 57.1 58.1 59.1 73.1 74.1 75 80.8 82.1 83 84 85 86.05 87.05 88.15 88.95 90.95 93.05 94.05 94.95 95.95 97.15 98.05 98.95 100.05 101.05 102.15 103.05 104.05 105.05 109.95 110.95 112.05 112.95 114.05 115.05 116.05 117.05 118.05 119.05 120.05 126.15 127.05 128.05 129.05 130.05 131.1 132.1 133.1 134.1 135.1 136 140.1 142.1 143 144.1 145.1 147.1 148.1 149.1 150 156 157.2 158.1 159.1 160 161 162.1 163.1 172.1 173 174 175.1 176.1 177.05 177.95 186.15 187.15 188.15 189.15 190.05 191.15 192.05 193.05 202.05 203.05 204.05 205.15 206.05 206.95 215.95 218.05 219.05 220.05 221.05 222.2 223.2 230.2 231.1 232.3 248.1 276.25 291.15 292.15 293.15 294.15 295.15 320.1 321.2 322.2,19984 16005 71200 9058 37944 8741 22928 316544 29680 34768 208 374 393 2443 1768 6119 3342 871 460 232 319 189 324 427 524 1784 996 23384 42472 7529 5843 963 665 246 384 965 896 6899 4854 2198 68504 8637 4236 377 177 410 7281 6970 5553 6958 7887 9543 2205 1051 261 199 272 268 1339 393 25864 4664 3345 346 284 232 1348 1247 2837 637 233 403 1246 260 1308 382 523 1003 215 1243 460 931 361 532 1441 312 385 4229 6580 2652 916 244 555 490 44896 36592 8410 3204 940 176 490 308 473 372 196 11466 7473 2614 1038 215 1440 426 227,-0.1871,4.1382
47,HMDB00744,Malic acid (3TMS),,,,20.81,1507,41.1 42.1 43 44.1 45.1 46.1 47 48.1 49 50.9 51.5 52 53.1 54.2 55.1 56 57 58 59.1 60 61.1 62.1 63.2 65.1 66.1 68.3 69.1 70.1 71.2 73.1 74.1 75.1 76 77.2 77.8 78.7 80.1 81.1 82.2 83.1 84.1 85.1 86.2 87.1 88 89 90.4 91.3 94 94.7 96.1 98.2 99.1 100 101.1 102 102.9 103.9 105 106 106.6 107.2 112.3 113.1 114.1 115 116.1 117.1 118 119 119.8 120.1 120.9 123.9 124.6 125.2 126.3 127.1 129.1 131 132 133.1 134 135 136.1 137.1 138.1 139.3 140.4 141.1 142.9 143.9 144.9 147.1 148.1 149.1 150.2 150.9 152 153.1 154.1 155 155.8 157.1 158 159.1 160 161.1 162 163.1 164 165.1 166.7 167.9 168.6 171.1 171.9 173.1 174.2 175.1 176 177 177.9 179 183.2 184.2 185 186.1 186.9 189.1 190.1 191.1 192.1 193.2 194.1 198.3 198.8 200.1 200.9 201.8 203.1 204.2 205 206.2 207.1 208 208.9 209.4 213.4 214.9 215.7 217.1 218.1 219.2 221.1 222 223.1 223.7 225.2 231.1 231.9 233.1 234.2 235.2 236.1 237.1 238.9 242.5 245.1 246.1 247.1 248.1 249.2 250.2 253.2 258.2 259.1 260 261 263.1 264.3 265.1 266.2 267.1 268.2 269.2 281.2 282.8 283.4 284.8 291.3 292.2 293.2 296.2 304 305.3 306.2 307.1 308.2 309.2 310.1 311.2 313.4 316.7 319.1 320.2 320.9 330.3 332.7 333.7 335.2 336.2 337.2 338.1 339.3 350 352.8 354.8 369.8 372.3 382.7 384.9 415.9 426.1 435.1 444.9 481.9 496.4 503.4 536.1 542.3 555.4 586.2,4909 11424 84504 51184 334272 23504 68056 2754 3154 1709 1921 3924 11198 4297 138240 11031 16680 38776 129616 18424 28696 1886 1895 1468 17056 1974 5652 7233 21656 2022912 174208 273088 16319 11946 818 533 203 879 1057 4612 3115 11443 4631 7444 4422 7349 674 960 701 241 818 1379 15399 6131 117728 10999 20576 2538 7027 1446 1378 1029 1702 5695 1021 19392 16156 51496 6059 24288 1840 2518 714 224 333 493 153 1436 23496 64672 12255 280000 43056 31648 1234 1282 413 543 706 1393 27496 2339 7214 757568 122104 105112 11544 23376 4198 1219 1611 2327 255 4594 2284 3838 1391 3363 864 1171 340 242 305 268 307 30952 5712 7483 8040 85400 20216 55000 8090 4289 687 1090 7759 842 1981 82296 74520 64760 18632 8516 777 414 1098 2678 874 1046 17032 8481 12204 3327 9759 1944 1827 1033 168 1510 718 62728 13677 6124 20336 6834 3560 312 745 1852 1077 202624 41000 19448 1116 197 552 152 145408 23512 34272 5015 1818 908 385 245 915 2218 651 14105 3997 29112 7517 5490 672 491 868 266 160 679 2123 525 865 315 226 6534 19000 17976 7155 3349 586 532 412 277 14280 5119 3441 591 750 256 40856 9505 6068 337 605 1403 302 211 342 306 151 207 438 848 407 440 161 196 401 775 935 192 489 ,0.0559,1.8862
12,HMDB00267,Pyroglutamic acid,PYR,"Pyroglutamic acid, bis(trimethylsilyl)ester",273,25.274,1535,41.1 42.1 43.1 44 45.1 47.1 55.1 57.1 58.1 59.1 72.1 73.1 74.1 75.1 81.1 81.9 83.1 84 85.1 86.05 86.95 87.95 90.95 93.65 95.15 96.05 97.15 98.05 99.05 100.15 100.95 101.85 102.15 103.05 105.05 110.25 111.15 112.15 113.15 114.15 115.05 116.05 116.95 117.95 119.05 121.55 123.65 126.05 127.05 127.85 129.05 131 133.1 133.9 135.1 139 140 141.2 142 147.1 148.1 149 149.9 154.2 156.1 157.1 158.1 159.1 206.95 213.85 221.15 228.1 230.1 231 232.1 258.1 259 260.1,4762 2040 10476 7366 23416 3611 3567 2279 5071 5699 3475 68064 5859 9291 168 361 612 1461 1306 1951 448 256 165 461 192 203 330 719 585 1079 309 203 209 392 377 206 185 1470 507 589 391 196 712 201 312 800 155 200 153 151 318 996 1769 253 156 179 1015 520 292 10170 1310 785 213 241 44616 6027 2179 181 289 206 254 251 3740 798 184 2315 595 191,-0.1002,4.1309
48,HMDB00191,Aspartic acid (3TMS),,,,21.436,1539,42.1 43.1 44.1 45.1 46.1 47 48 49.1 49.9 50.6 51.2 52.1 52.9 54 55.1 56 57.1 58 59.1 60 61 62.1 63.1 66.1 67 68.3 68.9 69.2 70.1 71 73.1 74.1 75.1 76 77 78.1 78.4 79.2 79.8 80.9 82.2 83 84.2 85 86.1 87 88.1 89.1 89.9 91.1 92.9 94.6 95.6 96.2 97.2 98.1 99 100.1 101.1 102.1 103 104.2 105 106.1 109.2 112 113.1 114.1 115.1 116 117 118.1 119 120 121.1 121.8 123.3 124.1 126.2 127 128 129.2 130.1 131.1 132 133 134 135.1 135.8 136.3 137.1 137.9 139.1 139.8 140.3 140.9 141.2 142.1 143 144.1 145.1 147.1 148.1 149.1 150.1 151.1 152.4 152.9 154 154.8 156 157.2 158.1 159 160.1 161.1 162.2 163.1 164.1 164.9 165.6 167.4 167.6 168.8 170.1 171 172 172.9 174.1 175.1 176.1 177.1 178.1 179.1 179.7 183.9 186.2 188.2 189.1 190.1 191.1 192.1 192.8 193.3 197.8 200.1 200.8 202.1 203.1 204.1 205.1 205.9 207 207.7 211.2 212.3 214 216.1 217.1 218.1 219.1 220.1 221.1 222 222.9 223.3 224.1 225.6 228.1 229.3 230.1 232.2 233.2 234.2 235.2 236.2 237.1 237.9 239 240.9 244.1 245.1 246.1 247.2 248.2 250.8 252 254.3 256.2 257.8 259.3 261.2 262.2 263.3 264.3 265.4 269.6 270.1 277.2 278.2 288.1 290 290.9 292.2 293.1 294.2 295 299 302.2 304.3 304.8 306.2 307 308.2 309.2 309.9 313.1 315 315.9 319 319.4 320 331.4 332.1 334.2 335.3 336.3 338 343.2 348.3 349.2 349.7 350.3 351 352.3 369.2 372.9 389.2 403 416.9 476.1 508.9 573.3,12509 82048 54560 275776 23384 59288 2677 2327 652 1633 363 3969 5467 5445 19472 7882 17624 40712 106584 19736 27336 1822 984 16896 2238 3021 3264 2274 40944 15884 1961472 183744 277888 21824 9997 497 619 2113 1110 399 3270 2785 14689 5340 13040 6702 7160 3402 673 1084 907 1298 588 997 1713 24512 15662 326400 56456 19648 20440 1296 10211 345 204 3192 5953 9519 34000 16496 77640 7849 16912 2593 835 201 858 890 2796 933 19736 6920 56544 38208 40296 130312 25112 13626 2002 645 1079 661 199 399 718 1706 1885 31304 12258 16624 6384 298176 51984 54920 7516 5012 356 274 281 1990 8322 5086 15217 2297 2545 4160 626 10841 783 772 579 585 556 262 1517 3567 19256 5724 36792 7030 8630 12810 1100 3217 675 3631 757 72984 19928 13428 5496 2101 551 979 180 4383 1455 94376 19416 48056 10175 3555 4419 592 392 171 3971 93504 21928 217472 39576 15895 7802 822 1600 1641 205 344 1689 623 7389 941120 205376 85432 12096 1376 453 732 676 339 6035 6362 15047 4552 751 241 213 150 163 751 325 1306 2122 1550 733 277 157 194 535 511 596 1186 664 16760 8876 4285 510 407 176 2232 336 35040 6740 5706 185 442 423 542 169 287 195 517 864 603 10034 4858 3299 784 567 345 6182 3310 2370 1046 984 445 163 626 695 332 737 217 240 ,0.0353,1.3606
13,HMDB00562,Creatinine,CRE,"Creatinine, N,N,O-tris(trimethylsilyl)-",329,25.822,1573,41.1 42.1 43.1 44 45.1 56.1 57.1 59.1 72.1 73.1 74.1 75 82.1 83.1 84.1 85.1 86.05 87.05 88.05 89.05 93.05 95.05 96.15 97.15 98.05 99.15 100.05 101.15 102.15 103.05 105.05 111.05 111.85 113.05 114.15 115.05 116.15 117.05 118.25 119.05 125.05 125.95 128.05 129.05 130.05 131.2 132 133.2 139 140.1 141.1 142.2 143.1 144.1 145 147 148.1 155.1 155.9 157 158 159.1 171.1 172 173 186.15 187.15 188.25 198.95 201.05 207.15 207.95 215.05 241 256.2 314.2 315.1 316.1 329.2 330.2 331.1,2698 11798 5359 4777 16228 1640 2349 3946 2320 46816 3657 3866 197 496 1099 712 611 394 187 156 203 240 185 194 389 1399 13731 1346 612 232 205 258 224 710 2892 33648 4203 1725 195 187 155 249 432 250 964 883 275 278 211 162 298 350 4471 500 344 1608 284 381 259 398 456 196 4745 893 415 166 1318 368 154 157 331 203 219 518 182 1299 463 177 2239 619 376,-0.0925,1.967
14,HMDB00943,Threonic acid,,Threonic acid,424,22.419,1588,41.2 42.3 43.1 44.1 45.1 46.1 47.1 48.2 49.1 50 51 51.3 52.2 53.1 54 55.1 56.1 57.2 58.1 59.1 60.2 61.1 61.9 63.1 65.1 66.1 67.1 68.1 69.1 70.2 71.2 73.2 74.1 75.1 76.1 77.1 78.2 79 80.3 81.1 83.1 84.2 85.1 86.1 87.1 88.1 89.2 90.2 91.1 92 93.2 95 96.1 97.1 97.9 99 100 101.1 102.1 103.1 104.1 105.1 106.1 107 109 111 113.1 113.9 115 117.1 118.1 119.1 120.1 121 121.8 124.2 125.2 127.2 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136.1 137.2 140.2 141 143.1 144.1 145.1 147.1 148.1 149.2 150.1 151.2 152 153 154.7 155.3 156 157.1 158 159.1 160.2 161.2 162.2 163.1 164.2 165 166.3 166.9 169.1 170.1 171.1 172 173.1 174.1 175.1 176.1 177.1 178.1 179.2 180 180.8 183.2 184.2 185 186.2 187.2 189.1 190.1 191.2 192.1 193.1 194 195.2 196.1 196.9 198.1 199.1 201.2 203.1 204.2 205.2 206.2 207.2 208.2 209.1 209.9 210.6 211.4 212 215.2 217.2 218.2 219.2 220.2 221.2 222.2 223.2 224.3 225.2 226.1 226.9 229.9 231.2 232.1 233.2 235 235.6 236.3 236.9 238.1 239.3 239.7 244.1 245.2 246.2 247.2 248.4 249.1 250.3 251.2 255.6 256.1 257.8 260.7 262.1 263.2 264.2 265.1 266.1 267 269.2 275.2 276 277.3 278.2 279.3 280.2 281.1 282.3 283.3 286.7 288.1 288.7 289.3 291.2 292.3 293.2 294.2 295.2 296.1 297.2 299.3 300.7 303.3 305.2 306.2 307.3 308.3 309.2 310.1 313.1 319.2 320.3 321.2 322.1 323.2 324.3 329.8 332.3 333.1 333.4 334.3 335.2 336.2 342.5 345.9 351.3 352.1 353.1 355.2 361 365.6 379.3 380.2 381.3 382.1 383.4 393.6 395.5 398.3 407.6 409.3 410.3 411.3 412 413 415.2 415.8 458.3 472.4 489.9 506.8 524.8 529.9 532.1 552.2 569 574.3,11514 7345 79808 75016 424192 25192 42496 1596 1828 618 1018 726 2032 6573 4345 84848 7830 25648 50416 150464 13882 22216 1154 812 314 3380 3346 5116 5666 13266 23920 3578368 337536 275392 12640 9079 1414 1493 589 1028 30600 1561 11975 4719 13325 11292 52536 5760 2670 573 891 1316 2867 1082 975 13814 4007 50984 111424 352384 38560 25920 1390 2121 927 3341 20728 3081 32824 414720 40112 43840 4849 2834 198 450 650 5673 105280 80216 127656 25448 301504 41120 26496 3525 1375 398 875 62560 8849 11537 1476096 225856 153792 17600 8469 1091 186 219 274 1185 17992 3619 7395 1744 10591 3892 16212 2018 2937 769 350 295 442 2078 542 7015 2337 23176 4370 61064 10446 5446 782 456 411 237 1861 304 2772 83272 12965 39864 8571 7226 1307 737 177 168 438 994 4444 26728 78672 428032 86432 66208 13751 5548 1041 488 322 317 3501 317376 65672 56344 399168 189696 58992 20400 3401 1104 168 216 848 8040 2271 1915 427 507 377 1007 200 247 290 2898 55248 11067 6037 1020 1096 362 286 361 344 394 157 208 2655 1105 1508 451 206 351 152 679 29880 12072 4476 944 412 239 291 215 461 1120 1162 74968 727552 202048 99728 16912 5445 524 219 174 428 17208 4625 8597 1771 1248 364 361 65552 17400 18288 3933 2106 849 422 345 453 501 1279 1103 296 176 151 510 382 245 297 229 265 10317 2760 2518 757 201 251 213 187 175 18720 7163 3896 1368 150 259 318 284 198 275 182 254 219 432 166 460 166 ,-0.022,2.0264
36,HMDB00694,2-Hydroxyglutaric acid,,,,22.507,1592,41.1 42.2 43.1 44.1 45 46.1 47.1 47.9 49.2 49.7 50.9 52.1 53 54 55.1 56.1 57.1 58.1 59.1 60.1 61 62.1 63 64.6 66.1 67 68 69 70 71.1 72.1 73.1 74.1 75.1 76 77.1 78.1 79.2 80.1 80.9 82.2 83 83.9 85.1 86 87.2 88.1 89.1 89.9 90.9 91.7 92.3 92.9 94 95 96.3 97 99 99.9 101.1 102 103 104 105 106 107 107.8 108.2 108.7 111 113.1 115 116.1 117.1 118.1 119.1 120.1 121.1 122.1 123.9 125 125.8 126.9 129.1 130.1 131 132 133.1 134.1 135.1 136.1 137 138.8 139.8 141.1 141.8 142.3 143.1 144.2 144.9 147.1 148.1 149.1 150 151.1 152.1 152.9 154.9 157.1 158.1 159.1 160 161.1 162.2 163 164.3 165.2 166.3 169 170.2 170.8 173.1 175.1 176 177.1 177.8 179 183.8 185.2 186 187.1 189 190.1 191.1 192.1 193.1 198 201 203.1 204.1 205.2 206 207 208 209.1 212.5 215.1 217.1 218.2 219.1 220.1 221 222 223.2 223.9 224.2 225.1 227.1 230.1 231.1 232.1 233.1 234.1 235 236.1 241.7 242.8 243.4 244 245.2 247.2 248.2 249.1 250.1 251 252.2 257.5 259 260.1 261.1 262.1 263.2 266.8 272.5 274 275.2 276 276.9 278.2 281.2 290.9 292.2 293.2 294 302 304.8 305.5 306.2 306.7 321.1 322.1 323.3 344 345.7 347 349.2 350.1 351.2 352 353 354.8 355.9 360 364 365.7 369.9 400.7 404.9 409.6 414.7 430.1 431.7 436.6 457.1 483.2 489.1 493.3 497.8 502.9 510.3 551.4 578 584.3,26392 9633 105184 61072 320704 24080 74296 2417 3557 746 2865 4803 5732 3579 57728 14626 32768 53120 111696 18040 45872 3725 1604 581 27040 7007 7658 21232 13187 19928 134912 2137088 203072 517504 33936 17216 1380 442 499 1896 290 5924 2005 142848 9118 10401 20768 7401 2837 906 663 296 627 871 10031 166 1713 20880 2179 55536 11709 20424 5781 12670 1752 753 392 760 1133 3248 13273 62888 122048 48368 11296 15681 1785 1492 952 182 1727 355 1630 992128 133696 127248 15769 203456 27568 31624 3843 1422 175 304 1617 1308 1850 4138 1336 4643 715008 125160 315840 43488 27352 967 181 1744 126992 21432 45040 6360 5433 2051 15920 3596 1828 401 12212 2130 365 2631 10545 2618 6836 284 779 285 6447 475 4691 8135 3889 7752 2391 2960 243 361 241152 80760 29704 4929 7267 826 756 587 2150 11392 20808 11661 8198 16576 4012 3297 247 244 222 191 2282 63528 12703 8027 2616 1743 310 465 2068 959 587 2149 490496 96992 47512 6421 2306 553 415 6143 3649 14723 2564 2301 1048 359 855 3560 384 762 367 356 873 851 264 418 676 204 562 424 467 12363 3740 1551 266 725 448 106168 33768 18744 4417 662 354 506 235 858 330 273 752 389 569 243 254 382 285 259 318 348 461 532 379 174 378 497 344 ,-0.0105,1.1853
49,HMDB00148,Glutamic acid (3TMS),,,363,23.346,1637,41.1 42.1 43 44.1 45.1 46.1 47 48.2 49.2 51.1 52.1 53.4 53.7 54.4 55.1 56.1 57.1 58 59.1 60.1 61 62.2 62.9 63.8 66 66.8 67.2 68.3 69 70 71.1 73.1 74.1 75.1 76.2 77 78.1 79.1 79.9 81.1 82.1 83 84 85 86.1 87.1 87.9 88.9 90.3 91.2 91.6 93.1 94.1 94.3 95.1 95.9 97 98 99.1 100.1 101.1 102.2 103 103.9 104.8 105.9 109.2 110.1 111 112 113.2 114 115.1 116.1 117 118 119 120.1 121 121.8 123 123.9 124.6 125.2 126.1 128.1 129 130.1 131.1 132 133 134.1 135.1 136.2 137.1 140 141 142 143.2 144 144.8 145.1 147.1 148.1 149.1 150 150.9 152.1 153.1 153.8 155 156.1 157.1 158.1 159.2 160.1 160.8 161.3 161.8 163 164.1 165.1 167.7 168.2 170.2 172 173 174.1 175.1 176.2 176.9 179.1 182.2 182.9 183.8 184.3 184.9 186.2 187.1 188.4 188.9 190.1 191.2 192.9 195.1 195.9 197.1 197.8 198.7 200.3 201.1 202.2 203.1 204.1 205.1 205.9 207.2 209 214.1 214.9 215.3 216.1 217.2 218.1 219.1 220 221.1 221.8 222.3 223.1 227.5 228.1 230.1 231.2 232.3 233.2 233.9 240.9 244.5 246.2 247.2 248.2 249.1 250.3 251 252.8 258.2 259 260.1 261.3 265.8 266.9 271.9 273.2 274.2 274.9 276 278.1 281.7 282.4 283.5 287.8 289.8 295.3 311.8 318.2 318.9 320.1 321.1 322.1 322.9 330.3 331.1 332.1 335.3 348.2 349.2 350.2 350.9 354.9 355.8 358.4 363.2 364.3 365.3 366.3 375.5 400.9 414.6 417 431.2 440.5 459.4 474.7 509 550.8,12813 4525 28168 19608 138496 9310 27824 1045 1491 849 1974 1000 775 3182 18640 40352 15069 21928 44808 10419 12178 1299 500 555 11995 877 697 2478 1939 5269 7258 884672 92576 218048 12431 8101 274 321 541 216 3769 3306 66672 12779 9856 3758 4853 2673 1251 172 194 229 606 641 1840 2972 2301 10191 8869 59864 10587 8463 14770 2974 2141 876 847 1066 1113 13327 10927 17272 14396 9904 11889 2917 4982 905 667 673 450 1057 302 714 3786 174144 41720 15357 23360 19544 49024 10804 8835 533 173 16464 3422 3113 2290 2404 1309 1520 161728 36744 61064 7083 2143 338 689 960 5620 56336 12189 27592 3580 4165 1962 1077 768 918 163 587 1022 482 300 2229 732 7051 1362 2069 556 646 181 829 594 151 552 1233 2055 3341 3177 2566 2838 1087 376 328 592 1071 1301 815 666 6394 4624 15879 3444 1786 373 370 8183 652 736 5410 2442 21568 7908 1938 6040 1151 366 2641 223 819 57608 10186 6238 1309 347 231 3086 502912 99392 32832 8764 2004 272 2371 11774 3367 2609 605 425 1293 458 1314 6019 4993 878 461 350 421 167 218 279 306 203 159 534 11153 2149 1546 281 168 214 920 211 38120 9013 4126 846 432 805 583 14395 2681 3280 525 228 296 985 371 235 194 401 386 156 529 ,-0.0012,0.9546
16,HMDB00159,Phenylalanine,PHE,Bis(trimethylsilyl)phenylalanine,309,27.007,1642,43.1 44.1 45.1 47.1 58.1 59.1 65.1 72.1 73.1 74.1 75 80 81 81.8 83.1 84 85 86.05 87.05 88.05 89.15 91.05 92.15 93.15 93.95 95.05 95.85 97.05 98.05 100.05 101.05 102.05 103.05 104.05 105.05 106.05 107.15 107.95 108.75 110.15 113.15 114.05 115.15 116.05 117.05 118.15 119.05 120.15 121.05 121.95 128.05 129.05 130.05 131.1 132.1 133.1 134.1 135.1 136.1 137.2 143.1 144.1 145 147.1 148 149.1 150 151 157 158.1 159 160 161 162 163 164 172.1 174.1 174.8 176 177.05 178.05 188.25 190.15 192.15 193.15 194.15 195.15 202.05 203.15 204.05 205.05 206.05 207.05 218.05 219.05 220.05 221.05 222.3 266.1 267.1 268.05 269.05 278.05 294.15 295.05,22128 16880 74976 8570 9348 16512 11742 6965 261120 24032 28096 404 468 300 626 1071 868 3943 928 367 2618 37088 5170 993 355 401 152 251 765 34648 5886 2963 6107 1637 2139 451 594 186 151 159 231 308 1890 1021 3242 1350 1651 1038 1695 277 353 483 4114 4021 5289 4907 1184 1493 266 224 240 501 715 22592 3870 2514 328 187 172 576 711 2962 1049 1359 797 173 268 1300 425 1993 1917 468 286 825 81040 14705 3903 423 288 1765 1564 545 198 398 74624 14081 5820 982 184 4597 1587 298 178 185 902 250,-0.243,3.867
17,HMDB00508,Ribitol,RIB,"Ribitol, 1,2,3,4,5-pentakis-O-(trimethylsilyl)-",512,28.26,1758,41.1 41.9 43.1 44.1 45 46.1 47.1 50 51.2 52 53 54.2 55.1 56 57 58.1 59.1 60 61 65.1 65.6 66 66.9 67.4 68.1 69.1 70.1 71.2 73.1 74.1 75.1 76.2 77 77.9 78.9 80 81.1 82.1 83.1 84.3 85.1 86.1 87.1 88.1 89.1 90.1 91 92.2 93 94.1 95 95.7 96.9 99.1 100 101.1 103.1 104.1 105.1 106.1 107 109.1 111 112 113 114.1 115.1 116.1 117 118 119.1 120.1 121 122 122.7 125 126.2 127.1 129.1 130.1 131.1 133.1 134 134.9 136 137.2 138.9 139.8 141.1 142 143 144 145.2 147.1 148.1 149.1 150 151.1 153 153.2 154.1 155.1 157.1 158.1 159.1 160 161.1 162.1 163.1 165 166.2 167.2 168 168.2 168.9 170.1 171.1 172.2 172.9 174 175.2 176.1 177.1 178.1 179.2 180.9 181.7 185 185.8 187 189.1 190 191.1 192 193 194.1 195 195.7 197.1 199.2 201.1 202.2 203.1 204.2 205.1 206.1 207.1 208.1 208.9 210 210.6 211.9 215 217.1 218.1 219.1 220.1 221.2 222.1 223 223.9 225.2 227.1 229 230 231.1 231.9 232.3 233 233.8 235 236.3 237.1 238.1 239.1 242.2 243.1 244.1 245.1 247.2 248.8 250.3 251.3 253.1 254.2 255.1 256.2 257.3 258.1 260.7 261.8 263.1 264 265.3 266.1 266.8 267.2 269.1 270.2 271.1 271.9 274.3 274.9 275.8 277.2 278.2 279.2 280.1 280.9 281.4 282.1 283 285.3 288.8 291.2 292.2 293.2 294.2 297 298.1 298.9 303 305.2 307.2 308.2 309.1 310.3 311.2 312.2 313.2 315 317.2 319.2 320.2 321.2 322.1 323 323.2 324.1 325.4 326.8 328.2 329.1 329.6 330.9 331.2 332.2 333.1 334.2 335.2 336.3 343.1 344.3 355 357.2 358.2 359.2 360.1 367.8 371.3 372.3 373.3 385.5 393.2 395.2 396.3 397.1 397.9 398.7 406.9 408.1 415.3 416.8 420.4 422.2 423.2 424.2 425.2 429.3 435.5 447.8 496 578.3,14295 1661 32904 44048 196416 10572 18976 1038 662 1778 3117 4614 12754 1586 10603 28160 80888 10929 15057 1389 675 1234 679 328 1751 10402 7164 12452 2904576 255744 185280 4958 4938 403 997 240 6607 957 3334 1729 6921 3410 12563 19448 57816 5264 2154 801 618 243 165 610 2669 10165 8708 80848 724608 65192 36960 1904 1771 297 4285 1482 14019 3261 20920 27448 302976 28664 31432 4176 2799 449 527 2348 841 8508 209664 28360 122920 260480 31328 17536 1366 1233 1143 1854 4698 3625 22400 3313 13585 1077760 165824 120072 15885 4993 1324 1320 371 7415 26720 6741 7676 3356 7763 2838 12238 2847 849 1586 732 790 1294 2121 4962 2181 6907 5453 39272 6291 14825 3402 1174 788 336 1797 215 3060 199936 38472 79936 10052 8229 1134 859 343 823 928 4189 6414 51928 249920 535616 102136 64320 10361 6527 250 480 269 3886 766400 200512 71872 11614 65808 14787 14531 747 820 489 18984 8811 4788 1306 1200 1830 939 1044 576 1223 329 837 3261 61704 13527 9664 2001 4126 968 340 5816 51016 11760 6220 1484 803 232 463 1140 1687 6085 932 793 932 7102 7629 2145 678 259 277 484 49864 26504 7886 3275 892 974 508 1488 690 682 53200 21952 11289 1728 154 281 599 1812 11663 164288 46472 24656 2406 1302 300 1089 682 25416 274624 82288 36608 10184 2139 2144 872 461 1609 1323 1034 152 1001 943 28120 11516 5220 1750 1757 246 773 517 19224 8491 1494 753 256 1441 1869 750 403 461 5723 1285 906 588 157 1541 551 284 166 213 10301 4005 2738 655 325 150 182 247 283 ,NA,NA
