SeqIndex,HMDB_Number,Compound,Cn,RT,RI,MW,MZ,Intensity
12,,C19,19,27.794,1904.1,268,40.1 41.1 42.1 43.1 44.1 45 50 51.1 52.1 53 54.1 55.1 56.1 57.1 58.1 59.1 63 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 74.1 77 78 79 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 91 91.9 93.1 93.9 95.1 96.1 97.1 98.1 99.1 100.1 101.1 105.1 109.1 110.1 111.1 112.1 113.1 114.1 115.1 117 123 124.1 125.1 126.1 127.1 128.1 129.1 137.3 138.1 139.1 140.1 141.1 142.1 143.2 151.3 152.1 153.1 154.1 155.2 156.2 157.1 164.9 166.1 167.1 168.2 169.2 170.2 171.1 180 181.2 182.2 183.2 184.2 185.1 194 195 196.2 197.2 198.2 199.2 207 208.1 210.2 211.2 212.2 213.2 224.2 225.2 226.2 227.2 238.3 239.2 240.2 241.3 253.1 254.4 266.3 268.3 269.3 270.3 271.3 281,13045 511104 137664 1263104 51736 682 762 1803 1266 22168 38792 410240 289792 2121216 95224 1759 387 4420 3851 45624 42632 246976 253760 1608192 90304 1839 189 2887 1293 6196 1439 16544 59336 182336 159680 1152512 76432 2052 1294 341 745 399 5317 34168 153536 126648 417792 32256 1049 208 1439 18584 84016 108360 274432 24024 1091 155 590 9612 42936 93464 197376 19320 927 379 5007 13797 79344 143680 15326 787 154 2424 6190 67224 107928 12820 650 180 1188 3128 53496 86544 11167 653 509 1419 43352 70864 9973 708 268 529 34248 60584 9551 558 603 166 28208 53416 8943 658 13499 33000 6137 486 6458 16608 3421 208 331 162 1166 148608 31240 3132 215 185 
13,,C20,20,29.429,2011.7,282,41.1 42.1 43.1 44.1 45 48.9 50.1 51 52 53.1 54.1 55.1 56.1 57.1 58.1 59.1 62.1 62.9 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 77.1 78.1 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 91 92 93 94 95.1 96.1 97.1 98.1 99.1 100.1 101.1 104 104.8 106.9 108.2 109.1 110.1 111.1 112.1 113.1 114.1 115.1 117 122.1 123.1 124.1 125.1 126.1 127.1 128.1 129.1 137.2 138.1 139.2 140.2 141.2 142.1 143.2 152.1 153.2 154.2 155.2 156.2 157.1 166.2 167.2 168.2 169.2 170.2 171.2 179.3 180.2 181.2 182.2 183.2 184.2 185.2 194.2 196.2 197.2 198.2 199.2 200 206.9 208.2 210.2 211.2 212.2 213.3 222.3 224.2 225.3 226.3 227.3 238.3 239.3 240.3 241.3 252.3 253.3 254.3 255.2 266.3 267.3 268.3 278.2 280.3 282.3 283.3 284.3 285.4,828736 229888 2180096 77256 996 199 1300 3038 2265 37920 77272 791552 567552 4205568 187520 3368 159 527 7515 8103 94736 96080 556224 545024 3535872 195072 4209 5265 1868 12507 3663 42256 145792 462656 388544 2802176 184384 4675 2561 527 1625 912 14548 93864 421184 327104 1099776 82640 2796 231 314 356 272 5106 55176 248576 288320 771328 66496 2860 178 313 2412 32912 134336 262272 582720 56488 2775 1092 18712 50432 236864 455168 49112 2419 10490 25808 209472 366144 41504 2096 5828 13331 176512 301312 37568 2052 150 3091 7191 152320 254592 33976 2190 1116 124488 227264 32376 1998 150 453 828 103392 204288 32464 2341 199 87960 184256 30744 2552 42520 111368 19392 1780 20976 57696 11047 884 351 1595 368 154 3416 518784 111688 12290 850 
14,,C22,22,32.407,2216.8,296,40.2 41.1 42.1 43.1 44.1 45.1 49 50 51 52 53.1 54.1 55.1 56.1 57.1 58.1 59.1 62.9 63.9 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 74 77 78 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.2 91 92 93 94.1 95.1 96.1 97.1 98.1 99.1 100.1 101.1 105 106.1 107 108.2 109.1 110.1 111.1 112.1 113.1 114.1 115.1 119 121.1 122 123.1 124.1 125.1 126.1 127.1 128.1 129.1 135 136.1 137.1 138.1 139.1 140.1 141.1 142.2 143.1 144.1 152.1 153.2 154.2 155.2 156.2 157.2 164.8 166.1 167.2 168.2 169.2 170.2 171.2 179.1 180.2 181.2 182.2 183.2 184.2 185.2 193.1 194.2 195.2 196.2 197.2 198.2 199.2 206.9 208.2 209.3 210.2 211.2 212.2 213.2 222.2 224.2 225.2 226.2 227.3 236 236.4 238.3 239.3 240.3 241.3 250.1 252.3 253.3 254.3 255.3 266.3 267.3 268.3 269.3 279.2 280.3 281.3 282.3 283.3 294.4 295.3 296.3 308.4 310.4 311.4 312.4 313.3,18656 714112 196928 1974272 72536 1040 239 1331 2747 1608 30712 69008 748032 496448 3780096 169280 2661 399 252 6528 8333 89776 93352 539264 474112 3116544 170752 4017 216 4575 1738 11083 3835 43800 139776 452544 324992 2431488 156160 4274 2690 590 1564 892 17928 91728 423232 268032 969344 72504 2367 1067 166 255 320 6299 56168 251008 236480 683712 57112 2216 339 196 685 3508 34920 136896 210560 513984 49608 2117 231 201 1887 21920 57512 192832 407552 42656 2165 160 13508 30104 173312 330368 37992 1989 216 8512 17376 149248 270016 34472 1908 191 5053 10302 127504 228800 31160 2158 220 3186 5844 108128 195264 27272 2057 946 1724 3469 91248 166784 26584 2159 690 77992 151424 25784 2243 241 269 62096 142912 25624 1824 249 55952 125200 23296 1944 27848 73488 14568 1885 151 13491 40296 7890 882 162 1164 255 2358 341952 82224 9604 554 
15,,C24,24,35.155,2415.2,310,40.2 41.1 42.1 43.1 44.1 45.1 49.1 50 51 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 62 63.1 64.1 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 77.1 78 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 91.1 91.9 93 94.1 95.1 96.1 97.1 98.1 99.1 100.1 101.2 103.1 105.1 107 108.2 109.1 110.1 111.1 112.1 113.1 114.1 115.1 119.1 119.8 122 123.1 124.1 125.1 126.1 127.1 128.1 129.1 132.9 135.1 136.2 137.1 138.1 139.1 140.2 141.2 142.1 143.1 144.1 149.1 151.1 152.1 153.2 154.2 155.2 156.2 157.2 166.1 167.2 168.2 169.2 170.2 171.2 180.2 181.2 182.2 183.2 184.2 185.2 191.1 193.1 194.2 195.2 196.2 197.2 198.2 199.2 207.1 208.2 209.2 210.2 211.2 212.3 213.2 222.2 223.3 224.2 225.2 226.3 227.2 236.2 238.3 239.3 240.3 241.3 250.3 251.3 252.3 253.3 254.3 255.2 264.1 265.2 266.3 267.3 268.3 269.3 270.2 280.3 281.3 282.3 283.3 294.3 295.3 296.4 297.3 308.4 309.3 310.4 311.4 322.2 323.4 324.4 336.3 338.4 339.4 340.4 341.4,15567 611648 169920 1843712 67488 700 216 1246 2366 1669 25040 67000 723904 463360 3544064 157504 2310 172 427 256 5075 7640 91448 95408 546560 440064 2936832 158976 3854 3387 1368 10848 3805 49712 146048 485824 310720 2278912 150656 4197 3376 383 1801 1633 20648 97952 459968 251008 949120 72552 2342 157 1408 379 535 7944 61584 271808 224192 670016 57848 2447 774 168 753 5326 41056 155264 204608 515392 48328 2457 501 236 564 3444 27352 67696 179904 409344 43944 1785 167 187 1057 16792 39160 162176 337216 39864 2417 12074 23040 144320 279488 35344 1892 7949 14916 130808 238016 30872 2140 166 313 5204 9298 111112 201408 30040 2214 1745 3393 6204 95248 173632 27280 1915 2176 3514 81696 153088 24456 2230 1280 68712 139520 23912 2170 654 1411 59296 128904 23632 1990 339 662 52824 119832 23784 1881 168 45200 110696 22232 2661 24064 64992 13386 1456 11357 35136 8843 1052 278 1240 432 1934 281664 73744 9594 927 
16,,C26,26,37.7,2614.3,324,40.2 41.1 42.1 43.1 44.1 45 49 50 51.1 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 63 65.1 66 67.1 68.1 69.1 70.1 71.1 72.1 73.1 74.1 75 76.2 77 78.1 79.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 90.2 91.1 91.9 93.1 94.1 95.1 96.1 97.1 98.1 99.1 100.1 101.1 103.8 105.1 106.9 108.1 109.1 110.1 111.1 112.1 113.1 114.1 115.2 117 118.3 119.1 119.7 121 122 123.1 124.1 125.1 126.1 127.1 128.1 129.1 132.2 132.9 135 136.1 137.1 138.1 139.1 140.1 141.1 142.2 143.1 146.9 148.9 151.2 152.1 153.2 154.2 155.2 156.2 157.2 166.1 167.2 168.2 169.2 170.2 171.2 179.1 180.2 181.2 182.2 183.2 184.2 185.2 191 191.9 193 194.2 195.2 196.2 197.2 198.2 199.3 207 208.2 209.2 210.2 211.2 212.2 213.2 221 222.2 223.2 224.2 225.3 226.3 227.2 236.2 237.3 238.3 239.3 240.3 241.2 250.2 251.3 252.3 253.3 254.3 255.3 264.2 265.3 266.3 267.3 268.3 269.3 278.1 279.4 280.3 281.3 282.3 283.3 284.2 292.3 294.3 295.3 296.3 297.3 308.4 309.4 310.3 311.3 312.3 322.4 323.4 324.4 325.4 326.2 336.4 337.4 338.4 339.5 341 350.5 351.3 352.4 364.5 366.5 367.5 368.5 369.5 429,13980 531136 150656 1680896 64016 1003 325 1183 2364 1611 21760 62864 689152 433472 3336704 149952 2516 283 5089 7394 90912 95312 551872 419008 2780672 155456 3903 172 214 274 3360 1232 10300 4216 53832 148992 508224 297472 2196480 146368 3789 182 3631 574 1688 1389 24920 106376 491584 240000 923136 70104 2548 175 2068 504 550 10240 63904 288128 214592 662976 55808 2017 169 429 1184 261 250 1042 6601 45216 169472 194304 514624 48600 2569 461 861 217 748 4569 31296 77984 173248 411136 44880 2405 352 168 1366 21544 45984 157312 340864 39776 2113 15213 29536 140864 289088 37536 2114 424 11445 19728 124584 244096 34448 1969 369 201 466 8215 12890 111248 206848 31376 2037 3173 5693 9306 97440 179008 28968 2423 187 4211 5591 82312 155136 26272 2484 2634 3625 70944 142400 24840 2426 1628 2853 61000 127480 23760 2326 838 1763 54920 116880 23880 2668 348 1052 47168 107112 24328 2117 186 294 41912 102488 23224 2180 36896 93784 20576 2452 253 17832 54512 13314 1918 166 8610 30664 7804 1195 418 232 1194 284 1309 217536 60952 8185 968 246 
17,,C28,28,40.054,2812.4,338,40.1 41.1 42.1 43.1 44.1 45.1 50 51 52.1 53.1 54.1 55.1 56.1 57.1 58.1 59.1 63.1 64.2 65.1 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 74.1 74.9 76 77 78.1 79.1 80 81.1 82.1 83.1 84.1 85.1 86.1 87.1 91 92.2 93 94.1 95.1 96.1 97.1 98.1 99.1 100.1 101.1 103 103.9 105 105.8 107.1 108.1 109.1 110.1 111.1 112.1 113.1 114.1 115.1 116 118.3 119 120 120.9 122 123.1 124.1 125.1 126.1 127.1 128.1 129.1 132.9 134 134.9 136.1 137.1 138.1 139.1 140.1 141.1 142.2 143.1 147 149 151.1 152.1 153.2 154.2 155.2 156.1 157.1 160.6 161.1 163 163.9 165.2 166.2 167.2 168.2 169.2 170.2 171.2 176.9 178.9 180.2 181.2 182.2 183.2 184.2 185.2 191 192 193 194.2 195.2 196.2 197.2 198.2 199.2 205 207 208.2 209.2 210.2 211.2 212.2 213.2 221 222.2 223.2 224.2 225.2 226.2 227.3 236.2 237.3 238.3 239.3 240.3 241.2 249 250.1 251.3 252.3 253.3 254.3 255.3 264.3 265.3 266.3 267.3 268.3 269.2 270.1 278.3 279.3 280.3 281.3 282.3 283.3 284.1 292.3 294.3 295.3 296.3 297.3 306.4 308.4 309.4 310.3 311.3 312.3 320.2 322.4 323.4 324.4 325.3 326.9 331 336.4 337.4 338.4 339.4 341 341.8 343 350.4 351.4 352.4 353.4 354.7 356.2 364.4 365.4 366.4 367.5 379.5 380.4 392.5 394.5 395.5 396.4 397.4 405.1 429.1,10764 4e+05 115640 1346560 56240 786 1189 1696 1068 15704 49200 544704 336256 2606080 116424 2426 481 288 3714 6197 72424 78560 438016 315712 2096640 116184 3760 232 324 206 2921 1492 8366 3485 42600 117712 406208 217280 1598464 105856 2820 2902 400 1698 1194 21360 84680 385472 172224 655744 50584 2142 181 247 1738 270 427 455 8483 48488 223680 147456 465472 41824 1950 214 314 1431 233 291 1222 5925 33888 126248 132416 350016 33712 1699 914 244 532 673 4074 24656 60592 115784 281728 30592 1485 1064 320 1328 16472 36744 104616 232896 27472 1574 255 256 255 156 798 12837 24944 92192 193408 24896 1450 303 539 9377 16291 81520 165760 22808 1667 770 216 400 8023 12307 74008 142720 20456 1303 155 5944 6001 8609 66472 123392 20136 1394 316 3918 5327 54912 108376 17960 1343 3237 4176 47600 95296 16536 1311 235 1896 2577 41720 84872 15731 1364 1354 2213 37048 75832 14961 1521 156 754 1184 32160 70688 15562 1765 167 554 27568 64392 13968 1580 250 25720 59264 15157 1684 158 166 21352 58112 13776 1960 443 199 20168 54024 14174 1695 733 308 179 9528 31800 8169 1049 267 168 4745 17136 4878 841 392 292 853 107400 33768 4460 539 236 493 
18,,C30,30,42.255,3011.3,352,40.1 41.1 42.1 43.1 44.1 45 49.9 51 52 53 54.1 55.1 56.1 57.1 58.1 59.1 63 64 65 66.1 67.1 68.1 69.1 70.1 71.1 72.1 73.1 73.9 74.9 76.1 77 78.1 79 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 88.9 91.1 91.9 93.1 94 95.1 96.1 97.1 98.1 99.1 100.1 101.1 102.9 104.1 105.1 105.8 107.1 108 109.1 110.1 111.1 112.1 113.1 114.1 115.1 116.9 119.1 119.9 121 122 123.1 124.1 125.1 126.1 127.1 128.1 129 130.9 132 133.1 134 135 136 137.1 138.1 139.1 140.1 141.1 142.1 143.1 147 148 148.9 151.1 152.1 153.1 154.1 155.1 156.1 157.1 160.7 162 162.9 165.2 166.1 167.1 168.1 169.2 170.2 171.2 175.1 177 178 179.2 180.1 181.2 182.2 183.2 184.1 185.1 189 190.9 192.1 193 194.2 195.2 196.2 197.2 198.2 199.2 205 207 208.1 209.1 210.2 211.2 212.2 213.2 221.1 222.2 223.2 224.2 225.2 226.3 227.1 236.2 237.2 238.2 239.3 240.2 241.2 249 250.1 251.2 252.3 253.3 254.3 255.1 264.2 265.2 266.3 267.3 268.3 269.3 278.1 279.3 280.3 281.3 282.2 283.1 284.1 292.2 293.3 294.3 295.3 296.4 297.3 306.2 308.4 309.3 310.4 311.3 320 321.4 322.4 323.4 324.4 325.2 327 327.9 329 331 335.2 336.4 337.4 338.4 339.2 341 342.1 343 344.1 346.2 350.4 351.4 352.4 353.4 355.1 356.2 357 364.4 365.4 366.4 367.5 378.5 379.4 380.4 381.4 392.4 393.4 394.4 395.5 399 400.9 405.1 406 407.3 415 415.9 420.6 422.5 423.5 424.5 429.1 430.1 431 432 503.2,5147 161280 48704 569792 35272 843 773 991 603 6352 20232 227520 143424 1102336 48152 1085 249 219 1626 2870 31528 33224 188480 131040 867392 46808 5004 434 674 195 1652 1664 3577 1820 19824 50920 171968 87384 632576 41672 1166 191 1182 355 909 843 9480 38304 162432 66312 262208 20072 533 323 335 1099 193 262 405 3893 21432 94848 56296 186176 16080 968 304 912 239 273 510 2742 15363 55584 50112 141312 15389 748 164 179 1752 200 1012 467 2078 11152 28208 44872 114456 13234 648 1548 267 435 734 7886 18672 40048 94408 11292 713 285 191 306 675 5669 11738 34328 75752 9664 701 209 648 197 436 4752 7996 30736 66912 8779 523 159 1441 368 979 3381 5650 26624 54504 8426 664 173 12242 5229 5493 22840 46464 7710 695 534 2576 2872 20288 40784 6581 508 1714 2078 18136 34896 6507 534 573 1344 1856 15646 33064 6278 824 924 1450 15103 29512 5712 758 543 909 12436 30392 6321 1159 161 390 574 11093 24136 5486 586 209 10366 23368 5093 826 163 200 8649 21256 5359 940 1061 332 287 441 178 7844 21040 5236 835 2122 677 612 211 255 7236 19552 4915 625 731 265 274 6707 17568 4950 709 3070 11022 2716 387 1561 5717 1959 402 184 154 736 229 278 304 156 202 31064 9644 1761 957 448 305 157 163 
19,,C32,32,44.323,3207.4,366,41.1 42.1 43.1 44 45 50 51 52 53 54.1 55.1 56.1 57.1 58.1 59 61.1 62.9 63.8 65 65.9 67.1 68.1 69.1 70.1 71.1 72.1 73 74 75.1 75.9 77 78 79 79.9 81 82 83.1 84.1 85.1 86.1 87 88.9 91 92.1 93.1 94 95.1 96.1 97.1 98 99.1 100.1 101 103 104 104.9 107 109 110.1 111.1 112.1 113.1 114.1 114.9 117 118.1 118.9 119.8 120.8 122 122.9 124.1 125.1 126.1 127.1 128.2 128.9 130 131.1 133 133.9 135 136.1 137 138.1 139.1 140.1 141.1 142.1 143 145.1 147 148 148.9 151 152 153.2 154.1 155.1 156.1 156.8 157.9 159 160.9 161.9 162.9 164.1 165 166 167.1 168.1 169.1 170.2 175.8 176.9 177.9 178.9 180.1 181.1 182.1 183.1 184.2 188.9 190.9 191.9 193 194.1 195.1 196.1 197.2 198.1 202.7 205 207 208 209 210.2 211.2 212.2 221 222.1 223.1 224.2 225.2 226.2 234.7 236.2 237.1 238.2 239.2 240.2 248.9 250 250.9 253.1 254.1 255 256 265 266.2 267.2 268.2 269.1 269.9 281.1 282.1 283 284.1 285 293.2 294.3 295.3 296.4 297 308.4 309.3 310.3 312.9 315 322.2 323.3 324.9 325.9 327 328 328.9 331 332.1 332.9 336.3 337.4 338.3 339.1 341 342 343 344 344.9 346 347.1 350.5 351.4 352.3 355.1 356 357 364.4 365.5 366.5 378.5 379.5 380.5 385 389 392.2 393.4 394.3 399.1 400.9 403 405.1 406.2 407.3 408.3 415 416.1 417.1 418 421.5 422.4 429.1 430.1 431.1 432.2 450.6 451.5 452.4 479.1 503.1 504.1 505.1,15789 5243 53200 28120 826 423 682 430 993 2126 20512 13737 101128 4150 680 239 220 364 395 505 3685 3392 17664 12566 78672 4130 9242 1014 1375 236 1161 2094 934 284 2833 5342 16864 8170 56032 3938 455 348 1276 255 623 407 1788 6661 16608 5835 24288 1996 229 567 277 559 217 697 1808 9292 4960 15708 1237 628 505 265 1212 178 184 152 453 1177 4994 3964 12481 1241 159 158 239 2385 399 2029 315 422 1144 2529 3559 8320 1087 255 166 3124 359 563 201 653 1607 3552 8200 1683 516 219 180 310 159 760 157 658 690 1357 2745 6257 937 244 1486 317 543 431 1074 2932 5475 832 301 3364 708 1749 854 1505 2358 5756 840 211 447 27408 6872 4391 2543 4516 785 1211 540 767 2012 4211 770 210 254 409 1916 3682 656 1163 542 647 6147 1513 805 177 1034 1582 3466 936 802 226 11811 2797 2038 466 159 192 1273 2539 475 177 813 1928 499 223 502 997 1782 1762 286 3153 792 630 1238 374 232 731 1900 474 225 4866 1648 1260 511 325 537 265 755 1940 305 1976 549 549 654 1557 452 536 1208 390 165 227 572 1277 532 262 334 407 1515 699 911 285 658 369 301 153 659 253 1732 975 733 239 2409 787 188 151 407 261 259 
20,,C34,34,46.333,3400,380,41.1 42.2 43.1 44.2 45 47 48 50.9 53 54.4 55.1 56.2 57.1 58.1 59 60.2 60.8 64 65.2 67 68 69.1 70.2 71.1 73.2 74.2 75.1 76.2 76.9 77.6 78.9 80.2 81.1 82.2 83.1 84.1 85.1 86.2 88.8 89.5 90.2 91.1 95 96.1 97.1 98.1 99.2 100.4 100.6 101.8 103 105.2 109.1 110.1 111.3 113.1 114 115.1 116.3 117.1 118.9 122.8 123.8 125.2 125.9 127.2 128.3 131.7 133.1 134.1 135 136 136.9 138.1 139.3 140.1 141.1 142.1 145.8 147.1 147.8 149 150 150.9 151.5 152.4 153 154 155.2 156.3 157.7 158.2 160.7 161.1 163 164.1 164.7 166.1 167.2 167.9 169.2 173.2 177.2 178.8 179.9 181.2 182.2 183.3 187.5 191 192 193 194.1 194.9 196.1 197.1 198.3 204 204.8 205.3 207 208 208.9 210.3 211.1 212.2 213 215 221.1 222.1 223.1 223.8 224.2 225.1 228.8 232.2 236.2 237.5 238.1 238.6 239.4 240.6 248.6 249.1 250.1 251 253.1 254.8 255.2 263.9 265.1 266.3 267.2 268.2 268.9 270.3 270.8 275.7 277.5 279.3 281.2 282.1 283.2 283.7 285 290.5 294.4 295.1 295.6 296.3 297 297.6 309.3 311.2 313.7 315 316.7 322.5 323.4 325.9 326.8 328.2 329 331 331.7 332.3 333.1 333.6 335.1 336.4 337.4 338.3 341 341.9 342.6 342.8 343.2 344 344.7 345.6 346.2 346.8 350.2 351.5 355.2 356.1 357.3 358.2 358.8 364.5 367.1 369.2 376.9 378 379.4 380.2 384.7 385.2 386.7 389.9 390.8 392.5 393.5 399.1 400.2 400.8 401.7 402.6 403.2 404 404.9 405.8 407.2 408.9 414.2 415.1 417 418.4 420.1 421.5 422.5 425 429 429.9 433.4 434.8 437.5 446.6 449.2 454.9 473.3 474.9 477.3 477.8 479 479.7 487.2 488.9 490.2 490.7 493.8 503 504.2 506 507.8 515.1 525.2 530.3 538.2 543.7 552.9 567.8,31928 11711 79216 3699 2850 440 160 1705 2848 2471 29480 11781 86544 7110 1091 825 2399 265 505 3197 2399 15017 8948 79160 21368 1106 2907 220 671 1247 1082 266 3010 2439 18216 7715 41448 2114 223 347 281 2591 1132 4458 9348 2539 14931 458 432 501 772 1237 804 877 5456 14338 1066 458 476 563 862 262 231 1916 1425 9495 856 752 4978 719 4990 190 1002 972 984 3188 5766 365 182 5902 380 290 457 742 741 486 1448 2295 4475 2627 1461 757 199 202 688 793 849 277 1103 2551 4177 266 420 1104 904 1104 2950 3299 269 2707 854 4469 452 2233 2372 5555 980 390 158 155 15238 5633 3031 2457 2301 221 355 751 4483 669 841 772 969 4567 399 633 467 438 783 785 3776 711 249 523 429 893 5370 1014 1778 549 712 1728 2559 1602 531 369 158 362 378 528 9055 919 1665 923 850 182 954 1263 1107 524 364 633 321 240 246 1114 244 1237 1723 228 3715 758 1309 1496 1093 470 196 463 165 485 1324 363 2797 701 1320 1251 1102 441 178 189 827 657 667 855 5001 153 1586 994 780 249 811 1181 1035 299 982 476 279 401 888 210 637 403 932 560 566 632 1018 413 619 440 1124 1336 782 302 171 844 563 475 501 266 339 422 983 1517 298 868 430 386 798 173 494 1014 387 902 894 1126 335 733 426 301 232 448 676 741 295 328 480 212 274 850 161 749 
21,,C36,36,48.83,,394,41.1 42.1 43.2 44.1 45.1 50 51.1 53 54.1 55.1 56.1 57.2 58.2 59.1 60 63.3 66 67.1 69.1 70.1 71.1 72 73.1 74.2 74.9 76 77.2 78.2 78.6 80.4 81.1 81.9 83.2 84.3 85.1 86 87 88.9 91.1 92.2 92.9 93.6 94.9 96 96.9 98.2 99 100.1 104.1 105.2 108 109.2 109.8 110.9 112 113.2 114.1 114.9 116.1 118.1 118.8 119.1 120.7 123.7 124.1 125 126.3 127.2 132.9 133.7 135.1 136.1 137.1 138.9 139.4 140.1 141.4 142.6 147.1 148.1 148.7 149.1 150.8 151.6 152.1 153.1 154.2 155 155.6 156.2 158 158.6 162.2 163.1 163.9 164.7 165.3 166 167.2 168.3 169 170.1 177.1 177.8 179 181 182 182.4 183.1 185.8 191 192 193.1 194 195.3 196.3 197.2 198.2 200.7 203.1 204.7 205.3 205.9 207 207.8 209.2 210.3 211.1 212 217.3 218.3 220.9 222.3 223.1 223.8 224.4 225.3 226.8 237.1 238 238.9 239.2 240 241 242.8 249 250.3 251.2 251.9 253 254.1 254.8 255.9 257 262.8 265.1 266.1 266.8 267.9 268.6 269.3 270.9 280.1 281.2 282.2 283 284.9 294.1 294.6 295.3 298.6 309.4 310.4 312.7 315.1 315.8 322.9 323.5 324.5 325.1 325.8 326.9 328.1 329.1 331 331.6 332.1 337.5 338.6 339.4 340.6 341.2 342 342.7 343.2 344.2 345.2 346.2 346.9 351.6 352.7 354.1 355.1 356 356.9 357.9 364.5 365.5 369 372.9 375.8 379.4 383.1 384.9 386 387.1 387.8 390.5 391.1 392.5 393.5 394.6 399.9 401 402.1 403.2 403.8 404.8 405.1 406.3 407.8 408.5 414.3 415.4 416.3 417.1 417.9 419.4 420.5 421.2 421.5 429 430.1 430.7 431.2 432.4 433.4 434.3 443.9 451 460.9 462.8 463.5 464.3 476.7 477.2 478.4 479.2 480.6 482.7 490.1 491.5 503.1 503.7 505.3 553.8 576.6 579.7,10705 2270 29864 1449 2198 423 538 725 1066 8397 6387 40824 1323 1808 504 435 497 2803 8430 4070 19848 2002 19392 1175 1299 350 2515 359 287 241 566 720 4890 2790 15671 1359 307 424 3229 492 559 165 737 2574 4533 949 4125 263 1133 770 174 593 456 3824 1643 5331 386 692 500 318 810 750 422 378 625 2100 843 1404 2582 463 6600 670 1200 668 754 1709 1645 414 8683 869 490 353 645 237 325 688 1146 1417 702 275 1070 675 1251 722 790 276 498 667 1139 547 918 607 757 1036 396 247 254 245 3253 173 1878 1059 2811 443 534 1138 4095 560 316 220 1739 217 166 17048 4483 4287 419 593 637 175 253 1511 2172 2830 497 1066 1598 292 641 493 1263 1387 359 843 323 2556 601 992 163 3108 678 308 407 176 153 425 470 1507 718 555 313 200 1412 9065 3673 1803 151 564 1028 1061 925 1227 357 899 367 480 435 378 573 861 464 3380 1353 709 573 422 418 545 392 574 485 1050 653 256 264 532 1999 625 324 385 976 384 2347 940 449 330 355 506 320 193 162 1570 507 896 164 633 377 482 236 364 598 624 702 606 494 1646 568 723 650 305 152 374 755 866 206 508 320 151 530 722 570 1573 596 1196 978 304 572 509 225 660 316 233 212 910 722 541 651 618 508 243 204 563 159 247 594 385 266 985 
