Serial_Number,SourceLib,HMDB_Number,Compound,name_short,Derivatized_compound_name,Parent_Mass_of_derivatized_compound,RT,RI,MZ,Intensity,Intercept,Slope,,
22,Serum,NA,Benzoic acid,NA,benzoic acid,NA,NA,1790,43.1 45.2 73.1 74.1 75.1 80.1 81.1 82.1 83.1 84.1 85.1 86.1 87.1 89.1 90.1 91.1 92.15 93.15 94.15 95.15 96.15 97.15 98.15 99.05 100.15 101.15 102.15 103.05 104.15 105.15 106.05 107.15 108.15 109.05 110.05 111.15 113.05 115.05 116.15 117.05 118.15 119.05 120.05 121.05 122.05 123.15 124.05 126.05 129.05 131.05 133.05 134.05 135.05 136.05 137.05 138.05 139.05 141.1 143.1 145.1 147.1 148.1 149.1 150.1 151.1 152.1 153.1 155.1 157.1 158.1 159.1 161.1 162.2 163.1 164.1 165.1 166.1 167 168.1 175.1 177.1 179 180 181 182.1 183.1 191.15 193.15 194.15 195.15 196.15 197.05 205.15 207.05 208.05 209.05 210.05 210.95 221.05 223.15 224.15 225.05 226.05 227.15 237.05 238.05 239.1 251.1 252 253.1 265.1 267.1 268.1 269.1 270.1 271.1 281.2 282.1 283.1 284.1 285.1,83624 244992 1115648 111928 142464 2810 10503 7570 20712 6638 24120 2466 6587 64288 27240 102560 60760 25584 3909 20104 10795 9121 4364 4938 1006 2811 3683 34280 34616 43656 6663 15953 3076 10957 2401 16295 1418 11032 2172 10844 18032 30736 20168 32872 22328 10920 2049 135552 1550 14035 51656 12771 86696 13260 10156 1214 1050 854 2396 3775 50160 14135 66176 21784 79416 10832 3770 720 2505 574 616 2710 1823 14128 4198 10114 8839 3024 643 862 13883 56272 8856 10148 1601 1100 17104 692864 123984 45064 6167 1432 896 51608 10688 9656 1914 600 6925 706688 157184 63176 9362 1762 7888 2097 1104 2344 903 508 2068 811648 185344 78520 12216 2199 22152 166144 42392 16277 2586 ,NA,NA,,
46,Organic Acid,,Benzoic acid,,,,14.738,1251.25,41.1 42.1 43.1 44.1 45.1 46 47.1 48 49 50.1 51.1 52.1 53 54 55.1 56.1 57.1 58 59.1 60 61 62 63.1 64 65.1 66 67 68.1 69 70 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79 80.1 81.1 82.2 83 84 85 86 87 87.9 89.6 91 92.1 93 94.1 95 96.1 97 98 99.1 100.1 101.1 102.1 103 104.1 105.1 106.1 107.1 108 109 110 113.1 114 115 116 117.1 118 119 120 121 122 123 127.1 127.9 129.1 130 131.1 132 133 134.1 135.1 136.1 137.1 138.1 139.1 143 144.1 145 146.1 147.1 148.1 149.1 150 151 152 156 157 158.2 159 161 162.1 163 164.1 165 166.2 170.1 171.1 172 173.1 174 175.1 176.1 177.1 179.1 180.1 181.1 182.1 183.1 186 188.1 189.1 190.1 191.1 192 193.1 194.1 195.1 196.1 197.1 205.1 207 208 209 219 220.1 221.1 222.1 223 247.1 248 249.1 250.1 260.1 261.2 262.2 263.1 264.1 265.2 267.1 273.1 281 291.1 363.1 379.3,974 1428 10312 5433 22688 1752 9749 519 659 10642 46624 2674 2473 504 2398 1386 2485 2939 5974 1956 2417 648 1313 551 2463 969 1227 648 1044 1014 1329 5138 35704 8875 28896 17792 324160 23896 2261 246 899 461 972 373 1212 519 1132 185 32336 5844 1338 1914 354 1418 959 328 162 957 1096 409 426 2574 5592 619648 48504 5859 543 1096 182 169 285 859 321 1201 1301 7752 2068 9016 1350 761 313 164 474 374 1370 652 3378 6982 551744 77800 23224 1854 162 224 199 660 400 7294 1409 10346 2379 1504 324 237 429 157 257 529 166 3690 2690 661 200 197 3477 886 741 414 2279 609 874 1157632 178624 55800 4941 487 179 931 5486 1491 2961 854 23360 105032 18160 5248 538 428 1029 264 199 532 163 2906 703 393 420 396 1131 301 174 1017 482 1303 322 282 228 153 403 181 207 298 ,0.01288,0.66186,0.9314,0.9085
40,Organic Acid,,beta-Lactate,,,,12.088,1157.66,41.1 42.1 43.1 44.1 45.1 46.1 47 48 49 51 52.1 53 54.2 55.1 56.1 57.1 58.1 59.1 60 61.1 61.9 63.1 66.1 67.8 69 70 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79 80 81.1 83.1 83.9 85.1 86.1 87.1 88 89 90 91 92.1 93 94.9 97 98.1 99 100.1 101.1 102.1 103.1 104.1 105 106.1 107 111 113 114 115.1 116.1 117.1 118.1 119.1 120 121 128.1 129.1 130.1 131.1 132.1 133.1 134.1 135 136 137 143.1 144.1 145.1 146.2 147.1 148.1 149.1 150.1 151.1 159.1 160.1 161.1 162.1 163.1 164.1 165.1 170.1 173 174.1 175.1 176.2 177.1 178.1 179.1 180.1 181.1 188.2 189.1 190 191.1 192 193.1 203.1 204.1 205.1 206 207.1 215.1 217.1 218.2 219.1 220.1 221.1 222.1 223.1 233.1 234 235 245.1 249 265.1 281.1 282.1 283 323,1071 1536 10438 7478 30600 2245 8543 376 402 1493 1829 748 252 15208 1734 3681 5830 17168 2440 6942 410 352 50608 540 657 1433 2455 9557 203584 19920 61280 4174 4313 488 532 473 16904 318 322 2589 803 23224 6050 2879 309 1316 152 356 174 170 228 2019 479 25752 18888 25784 2953 3514 421 347 168 716 465 6881 42816 12601 3221 3292 745 245 241 18040 2465 20104 3564 41096 5974 3437 335 164 3178 1269 1967 2449 875200 137152 72928 6830 1794 569 207 751 389 4455 894 753 234 641 282 1170 919 223680 38888 18136 1988 492 330 2261 1153 2289 533 285 2073 2749 580 184 660 204 4567 1421 197696 37808 17848 2166 456 438 703 164 156 284 322 1349 516 240 372 ,-0.01016,0.22147,0.9904,0.9856
35,Serum,HMDB00067,Cholesterol,CHO,Cholesterol trimethylsilyl ether,458,48.848,3159,41.1 43.1 45 55 56 57 67 69 71.1 73 75 79.1 81 82.9 85 91.05 93.05 94.95 97.05 105.05 105.95 106.85 108.85 116.95 118.95 119.95 121.05 128.95 129.85 131.05 132.95 145 147 159.1 161 329.3 368.3,6228 10632 1246 4419 1406 5133 1468 2043 2410 8680 4329 2044 2440 909 545 2546 1546 1835 506 1978 506 1115 503 785 1193 761 692 3184 689 1120 581 817 524 883 607 1279 614,-0.0048,0.1416,,
23,Serum,HMDB00094,Citric acid,CIT,Isocitric (tms) 4TMS,480,29.651,1799,43.1 44.1 45.1 47.1 55.1 59.1 67 72.1 73.1 74.1 75 81 82.1 82.9 84 85.1 86.15 87.15 88.05 89.05 91.15 92.15 93.05 94.05 94.95 97.05 98.15 99.05 100.15 101.05 102.15 103.05 103.75 105.05 111.05 111.95 113.05 114.05 115.05 116.05 117.05 117.85 119.05 129.05 131 132.1 133.1 134.1 135.1 139 141 142.3 143 144.9 147.1 148.1 149.1 150.1 150.8 154.9 157 158.9 161 163.1 168.9 171 172.9 177.05 183.05 184.05 185.05 189.15 190.05 190.95 192.05 192.95 201.05 204.15 204.95 207.05 207.85 210.95 212.05 213.05 215.05 216.05 217.05 218.05 219.05 221.05 222.1 223 229.1 230 231.1 232 233.1 245.1 257 257.9 259.1 273.15 274.05 275.15 276.05 284.95 292.05 300.95 303.15 305.15 306.15 307.15 308.95 319.2 332.9 334.1 347.1 348.2 349.1 363.15 364.15 365.15 375.15 376.05 377.15 465.25 466.25,7100 7449 19752 2780 2250 2786 3822 4098 107008 9268 14069 290 205 366 223 529 290 243 279 227 269 175 383 210 414 823 276 1514 446 592 174 804 177 442 623 185 410 245 1510 1090 1325 266 376 1506 1969 341 3950 632 410 306 620 193 897 178 26456 3931 4562 535 268 211 555 155 217 279 278 574 248 181 2062 347 843 529 289 555 164 214 332 385 485 1377 215 2373 328 547 714 282 1433 320 186 1875 410 179 393 190 860 238 187 227 1281 249 354 14170 3055 1598 281 310 159 173 271 1267 465 184 243 447 219 178 2788 543 690 1986 846 455 2246 678 348 585 286,-0.0289,0.0029,,
18,Serum,HMDB00562,Creatinine,CRE,"Creatinine, N,N,O-tris(trimethylsilyl)-",329,25.822,1551,41.1 42.1 43.1 44 45.1 56.1 57.1 59.1 72.1 73.1 74.1 75 82.1 83.1 84.1 85.1 86.05 87.05 88.05 89.05 93.05 95.05 96.15 97.15 98.05 99.15 100.05 101.15 102.15 103.05 105.05 111.05 111.85 113.05 114.15 115.05 116.15 117.05 118.25 119.05 125.05 125.95 128.05 129.05 130.05 131.2 132 133.2 139 140.1 141.1 142.2 143.1 144.1 145 147 148.1 155.1 155.9 157 158 159.1 171.1 172 173 186.15 187.15 188.25 198.95 201.05 207.15 207.95 215.05 241 256.2 314.2 315.1 316.1 329.2 330.2 331.1,2698 11798 5359 4777 16228 1640 2349 3946 2320 46816 3657 3866 197 496 1099 712 611 394 187 156 203 240 185 194 389 1399 13731 1346 612 232 205 258 224 710 2892 33648 4203 1725 195 187 155 249 432 250 964 883 275 278 211 162 298 350 4471 500 344 1608 284 381 259 398 456 196 4745 893 415 166 1318 368 154 157 331 203 219 518 182 1299 463 177 2239 619 376,-0.0925,0.002,,
47,Organic Acid,,Ethylmalonic acid,,,,15.823,1292.14,40.1 41.1 42.1 43.1 44.1 45.1 46.1 47.1 48.1 49 50.1 51.1 52.1 53.1 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62.1 63.1 64 65.2 66.1 66.8 68.1 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78 79.1 79.8 81.1 82.1 83.1 84.1 85.1 86.1 87.1 88 89.1 90.1 91.1 92 93 94 95 96.1 97.1 98.1 99.1 100.1 101.1 102 103.1 104 105.1 106 107 108.7 111.1 112.1 113.1 114.1 115.1 116.1 117.1 118.1 119.1 120 121 123.1 125 126.2 127.1 128.1 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136.1 137 139.1 140 141.1 142.1 143.1 144.1 145.1 147.2 148.1 149.1 150.1 151.1 152.1 153.1 155.1 156 157.1 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165.1 166 166.9 168.2 169.1 170.1 171.1 172.1 173.1 174.1 175.1 176.1 177.1 178 179.2 183 184.1 185.1 186.1 187.1 188.1 189.1 190.1 191.1 192.1 193.1 194.1 199 199.9 201.1 202.1 203.1 204.1 205.2 206.2 207.1 208 209 215.2 217.2 218.2 219.2 220.2 221.2 222.1 223 229.1 231.2 232.2 233.2 234.2 235.2 236.1 237.1 243 245.1 246.1 247.2 248.2 249.2 250.2 251.1 252.1 253.1 258.2 259.2 261.2 262.2 263.2 264.2 265.1 266.2 267 275.1 276.2 277.2 278.2 279.2 281 283 291.2 293.1 299.1 300.1 301.2 302.1 314.1 315.1 333.2 335.2 349.2 350.2 351.1 379.2 423.3 424.3 425.3 426.2,3194 24528 10549 46240 40968 202560 13600 51072 2341 1600 273 2202 5796 4670 638336 23928 16228 26648 70688 12712 37256 2613 1433 272 1050 34544 5291 10588 143808 105408 22304 85408 2023424 184896 450496 31080 19536 3235 1839 202 1769 479 6326 2532 22760 3389 9533 2341 8449 1242 1366 323 680 173 1327 684 32656 7400 51944 7853 12053 5540 19096 3376 13201 1380 1284 3894 1656 521 7629 2051 28712 10740 83880 10599 20712 2459 1510 54120 1445 725 58504 9804 233344 28456 165888 26320 307968 42880 28120 2645 835 183 237 2126 9037 232448 42496 20512 6972928 1337856 760896 79520 21480 1612 608 532 630 14114 8287 76608 10910 7253 6775 6058 1444 682 636 171 199 941 1601 116216 15013 61112 9985 14318 2412 3183 574 270 241 258 2506 48344 12404 3510 18384 32224 22320 5249 1798 322 231 159 7071 1659 9288 198272 46984 18016 5197 934 462 2158 1477632 299840 132096 16728 4750 548 254 942 17624 268416 88776 29696 5662 925 164 433 49248 10637 5537 274688 54128 25000 3760 613 245 466 1297 836928 177856 79608 11266 2202 314 163 473 16016 4953 1941 324 350 250 174 382 3659 1028 424 164 702 164 255 249 2355 598 432 180 5441 1930 1022 359 ,0.04271,3.15027,0.9941,0.9926
101,Saliva,NA,Fumaric acid,NA,Fumaric acid,NA,,1379,42.95 43.95 44.95 46.95 53 54 58 59 61 73 74 75 80.9 81.9 83 84 84.9 97.9 98.9 102.9 112.85 114.95 116.95 118.95 125.95 126.95 127.95 130.95 131.95 132.95 133.85 134.95 142.95 143.95 144.95 146.95 147.95 148.95 154.85 156.85 171 216.9 244.95 245.95 246.95,11914 4702 29920 10294 8721 4361 7027 6758 5688 72232 8302 41112 546 1709 15262 5240 2862 1186 1377 822 1134 3403 1318 528 793 2096 1053 962 609 5803 802 607 9124 1258 712 29784 5000 4004 2696 1608 674 672 27448 6636 3063 ,,,,
25,Serum,HMDB00143,Galactose,GAL,Galactose methoxyamine (5TMS),569,30.594,1876,45.1 59.1 73.1 74.1 75 81 82 83 84 85 86.15 87.05 88.15 89.05 90.05 91.05 92.15 93.15 93.95 95.05 96.05 97.05 98.05 99.05 100.05 101.05 103.05 104.05 105.05 106.05 107.15 109.15 110.05 111.05 112.15 113.05 114.05 115.05 116.05 117.05 118.05 119.05 120.05 120.95 125.05 125.95 127.05 128.05 129.05 130.05 131.1 132.1 133.1 134.1 135 136 138.1 139.1 140 141.1 142.1 143.1 144.1 145.1 147.1 148.1 149.1 150 151 152.1 153.1 154.1 155 157 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165 166 168.1 169.1 170 171 172.1 173 174.1 175 176 177.15 178.15 179.05 180.15 182.05 182.85 183.25 184.15 184.95 186.15 187.15 189.05 190.15 191.05 192.05 193.05 194.05 196.15 198.05 199.15 200.05 201.05 202.05 203.15 204.15 205.15 206.15 207.05 208.05 208.95 210.15 211.85 214.05 215.05 217.05 218.05 219.05 220.05 221.05 222.1 223.1 227 229.1 230.1 231.1 232.1 233.2 234.1 235.1 236.1 237.1 240.1 241 242 243.1 244.2 245.1 246.1 247 248.1 249.1 252.1 259 261.1 262.1 263.1 265 268.15 269.15 270.05 273.15 274.25 275.05 276.05 277.15 278.15 279.15 281.15 284.15 291.15 292.15 293.15 294.05 300.05 302.15 304.05 305.15 306.15 307.15 308.15 309.05 310.05 316.1 317.2 319.2 320.2 321.2 322.1 323.1 328.1 331.2 332.2 333.1 337.1 342.2 343.1 344.1 347.1 348.2 349.3 350.1 358.2 365.15 376.15 480.35,106704 44264 1190912 97360 71800 859 2113 3088 1560 3080 1604 2720 4372 61352 6182 2912 332 258 354 434 3011 2076 998 3048 13652 14741 226304 21088 16648 1736 662 190 474 1919 788 3246 4358 4466 4482 64784 6927 7854 816 565 300 910 1860 1567 31680 6387 16361 2609 43608 5555 3415 201 170 155 396 728 1307 6341 1031 2278 162688 25352 16033 1855 901 325 203 700 421 16880 3158 3603 67040 14555 3594 5814 1033 433 167 376 1811 463 381 2181 2610 851 3206 621 4774 1007 681 381 608 194 185 223 336 2154 1233 19072 5689 9676 2013 1477 259 391 445 212 769 3013 996 2925 23544 172608 33424 17672 2433 625 453 165 1973 873 68080 13616 6186 1590 3888 638 369 193 10092 3294 2963 1068 4133 1892 5183 1016 716 300 283 566 836 969 1125 961 1193 314 208 158 540 180 755 286 366 1420 523 463 769 1146 314 161 4264 1658 678 159 226 4570 1558 793 254 541 528 493 2433 1590 5099 1454 749 182 152 230 76200 24216 11237 2308 584 322 382 180 206 372 228 252 320 431 186 279 151 157 540 306 174,-0.6086,0.0044,,
26,Serum,HMDB00122,Glucose,GLU,"D-Glucose, 2,3,4,5,6-pentakis-O-(trimethylsilyl)-",540,30.665,1895,45.1 59.1 73.1 74.1 75 81 82 83 84 85 86.15 87.05 88.15 89.05 90.05 91.05 92.15 93.15 93.95 95.05 96.05 97.05 98.05 99.05 100.05 101.05 103.05 104.05 105.05 106.05 107.15 109.15 110.05 111.05 112.15 113.05 114.05 115.05 116.05 117.05 118.05 119.05 120.05 120.95 125.05 125.95 127.05 128.05 129.05 130.05 131.1 132.1 133.1 134.1 135 136 138.1 139.1 140 141.1 142.1 143.1 144.1 145.1 147.1 148.1 149.1 150 151 152.1 153.1 154.1 155 157 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165 166 168.1 169.1 170 171 172.1 173 174.1 175 176 177.15 178.15 179.05 180.15 182.05 182.85 183.25 184.15 184.95 186.15 187.15 189.05 190.15 191.05 192.05 193.05 194.05 196.15 198.05 199.15 200.05 201.05 202.05 203.15 204.15 205.15 206.15 207.05 208.05 208.95 210.15 211.85 214.05 215.05 217.05 218.05 219.05 220.05 221.05 222.1 223.1 227 229.1 230.1 231.1 232.1 233.2 234.1 235.1 236.1 237.1 240.1 241 242 243.1 244.2 245.1 246.1 247 248.1 249.1 252.1 259 261.1 262.1 263.1 265 268.15 269.15 270.05 273.15 274.25 275.05 276.05 277.15 278.15 279.15 281.15 284.15 291.15 292.15 293.15 294.05 300.05 302.15 304.05 305.15 306.15 307.15 308.15 309.05 310.05 316.1 317.2 319.2 320.2 321.2 322.1 323.1 328.1 331.2 332.2 333.1 337.1 342.2 343.1 344.1 347.1 348.2 349.3 350.1 358.2 365.15 376.15 480.35,106704 44264 1190912 97360 71800 859 2113 3088 1560 3080 1604 2720 4372 61352 6182 2912 332 258 354 434 3011 2076 998 3048 13652 14741 226304 21088 16648 1736 662 190 474 1919 788 3246 4358 4466 4482 64784 6927 7854 816 565 300 910 1860 1567 31680 6387 16361 2609 43608 5555 3415 201 170 155 396 728 1307 6341 1031 2278 162688 25352 16033 1855 901 325 203 700 421 16880 3158 3603 67040 14555 3594 5814 1033 433 167 376 1811 463 381 2181 2610 851 3206 621 4774 1007 681 381 608 194 185 223 336 2154 1233 19072 5689 9676 2013 1477 259 391 445 212 769 3013 996 2925 23544 172608 33424 17672 2433 625 453 165 1973 873 68080 13616 6186 1590 3888 638 369 193 10092 3294 2963 1068 4133 1892 5183 1016 716 300 283 566 836 969 1125 961 1193 314 208 158 540 180 755 286 366 1420 523 463 769 1146 314 161 4264 1658 678 159 226 4570 1558 793 254 541 528 493 2433 1590 5099 1454 749 182 152 230 76200 24216 11237 2308 584 322 382 180 206 372 228 252 320 431 186 279 151 157 540 306 174,-0.2592,0.0045,,
19,Serum,HMDB00148,Glutamine,GLN,Can_be_Glutamic_acid_either,363,25.311,1606,41.1 43.1 44 45.1 47 55.1 56.1 57.1 58 59 73.1 74.1 75.1 77 81.1 81.9 82.3 83 84 85.1 86.85 89.15 91.25 94.95 96.05 97.05 98.15 99.15 100.05 101.15 102.05 103.05 104.95 112.05 113.05 114.15 115.15 116.05 116.95 119.95 128.05 129.05 130.05 131.1 132 133.1 134.2 135.1 140.1 141.2 147.1 148.1 149 155.1 156 157 158 158.9 170 186.15 204.05 205.15 206.95 218.05 219.05 230.1 246.1 247.2 248.2 258.1 348.1 363.15,3825 4084 6520 7066 3131 2405 3264 2243 1565 2122 26168 3254 8694 2757 281 202 202 852 5045 818 198 185 435 238 268 481 519 479 2540 439 284 587 288 306 563 539 549 446 635 172 4397 1206 645 574 335 1054 260 243 252 260 4645 621 975 155 1902 499 838 186 170 250 355 205 638 640 179 620 6453 1476 511 181 361 150,-0.0049,0.0005,,
53,Organic Acid,,Glutaric acid,,,,18.692,1414.04,40.1 41.1 42.1 43.1 44.1 45.1 46.1 47.1 48.1 49 50.1 51.1 52.1 53.1 55.1 56.1 57.1 58.1 59.1 60.1 61.1 62.1 63 64 65.1 66.1 67 68.1 69.1 70.1 71.1 72.1 73.1 74.1 75.1 76.1 77.1 78.1 79 80 81.1 82 83.1 84.2 85.1 86.1 87.1 88.1 89.1 90.1 91.1 92.1 93.1 94.2 95 96.1 97.1 98.1 99.1 100.1 101.1 102.1 103.1 104.1 105 106 107 109 110.1 111 112.1 113.1 114.1 115.1 116.1 117.1 118.1 119.1 120.1 121 123.1 125.1 126.2 127.1 128.1 129.1 130.1 131.1 132.1 133.1 134.1 135.1 136 137 139.1 141.1 142.1 143.1 144.1 145.1 147.1 148.1 149.1 150.1 151.1 152.1 153.1 154.2 155.1 156.1 158.1 159.1 160.1 161.1 162.1 163.1 164.1 165.1 166.1 167 168.1 169.1 170.1 171.1 172.1 173.1 174.1 175.1 176 177 178.1 179.1 183 185.1 186.1 187.1 188.1 189.1 190.1 191.1 192.1 193.1 194 199 201.1 202.2 203.1 204.1 205.1 206.1 207.2 208.2 209.1 215.1 216.1 217.2 218.2 219.2 220.1 221.1 222.1 230.1 231.2 233.2 234.2 235.2 236.2 237.1 243.1 244.1 245.1 246.1 247.1 248.1 249.1 251.1 257 258 261.2 262.2 263.2 264.2 265.1 266.1 267 275.1 276.2 277.2 278.1 279.1 281 295.2 335.1 349.2 350.2 351.3 423.2 424.3 425.3,2776 23776 22856 73240 30304 153664 10809 66256 3126 2379 194 2512 2125 4991 688576 25968 14999 33976 45824 14331 69832 4415 2800 213 502 8837 2378 20376 43528 14027 12922 143360 1652224 167296 712256 50920 31288 1370 595 239 1203 316 2284 2073 50016 8812 10967 27648 23424 3572 3159 314 638 236 5141 6167 385792 26648 42352 7169 69368 11384 15216 2777 6632 876 804 813 196 3806 683 18368 4015 45464 333440 180160 28432 17016 1784 1288 93968 1789 553 26696 12400 482944 233088 112520 31448 2e+05 28232 19832 2078 972 283 1315 11184 67176 10617 104008 4599808 794816 624192 73008 26344 2220 807 221 722 1288 1126912 280448 67352 12503 42984 23136 5917 3446 730 259 182 2343 1297 37528 5340 6797 876 2737 743 945 261 239 308 3817 445312 227904 45864 111888 22424 19240 2927 1279 150 175 20048 4800 331264 515968 115336 42296 6519 1268 214 402 646 53872 11053 21688 3807 2524 401 160 1745 454016 93088 41120 6028 981 1249 375 3119 604 436 186 308 173 162 235 2029056 441472 195904 28336 5681 548 195 791 9518 2907 981 266 215 151 231 3272 1125 530 1449 574 328 ,0.02865,2.70566,0.9823,0.9779
12,Serum,HMDB00123,Glycine,GLY,"Glycine, 3TMS",291,21.108,1300,43.1 44.1 45.1 58.1 59.1 73.1 74.1 75.1 81.4 82.1 83 84 85.1 86.05 87.05 88.05 89.05 89.75 90.95 92.95 94.15 94.95 95.85 97.15 98.15 100.05 101.05 102.05 103.05 103.95 104.95 105.95 111.05 113.05 114.05 115.05 116.05 117.05 118.05 119.05 120.05 120.85 122.85 128.05 129.15 130.05 131.1 132.1 133.1 134.1 135.1 136 142 143.1 144.1 145.1 147.1 148.1 149 150.1 151.1 158.1 159 160.1 161 162 172 174.1 175.1 176.1 177.15 178.15 178.85 186.05 186.95 188.05 189.05 190.05 191.15 191.95 202.15 203.15 204.15 205.05 206.05 207.05 217.95 246.1 248.1 249.1 250.1 251.1 252.1 276.15 277.15 278.15 279.15,36896 24600 142144 15130 81824 414976 36064 28304 211 420 971 1572 3433 92240 10613 3735 665 179 375 356 305 820 277 362 668 54608 13217 6505 4948 1091 1728 203 211 2083 2196 4115 6439 16704 2466 4351 617 342 164 408 964 12020 13106 3714 44560 6386 2787 442 325 181 4421 1003 92720 13183 6830 811 196 7217 2253 2142 758 159 3593 347776 64736 26160 4108 770 186 185 297 3832 1151 1002 388 182 1980 416 1855 497 197 422 336 2079 44600 11539 5840 777 293 9761 2125 1151 354,-0.2015,0.0018,,
89,Saliva,NA,Glycine,NA,Glycine,NA,,1170,41 42.1 43 44 45 47 55 56 57 58 59 61 70 72 73 73.9 75 86 99.95 102.05 144.1 145 146 158 188.05 189.05 202.05,5415 4654 4309 3446 8433 2825 1975 3518 2359 2724 6700 1704 2639 1918 21920 2175 7469 937 3032 1122 6778 1098 1029 734 4319 721 1640 ,,,,
95,Saliva,NA,Glycine-2,NA,Glycine-2,NA,,1298,43 44 45 47 58 59 73 74 75 84.9 86 86.9 88.05 99.95 101.05 101.95 102.95 105.05 112.95 113.95 114.95 115.95 116.95 117.95 118.95 129.95 130.95 132.95 133.95 135 144 147 148 149.1 158 158.9 159.9 172 174 175 176 177 188.05 202.05 204.05 248 249 250.1 276.05 277.05,13874 7104 43352 4641 5642 24208 115520 9576 8375 1037 23968 2771 1345 15602 3507 1838 1665 711 572 903 1362 2152 5854 774 1845 3439 3853 15921 2692 1331 1517 21896 4023 2110 3115 583 933 618 77648 14774 6734 1133 1384 1105 701 12827 2886 1663 1936 521 ,,,,
2,Serum,NA,Glyocolic acid-2TMS,NA,Glyocolic acid-2TMS,NA,NA,1006,42.05 43.05 44.05 45.05 47.05 58.05 59.05 66.05 72.05 73.05 74.05 75.05 81.1 85 86.1 87 88.1 89 90 91.1 95 98.9 100 101 102 103 103.9 104.9 106 113 115 116 117 118 119 120 131.05 132.05 133.05 134.05 135.05 147.05 148.05 149.05 149.95 150.85 161.05 162.05 163.05 164.05 175.1 177 178 179 190 205 205.9 207,6645 36160 14112 67032 11825 16640 20776 24616 6798 175232 16520 21736 4093 264 222 2248 6257 2876 543 258 557 162 172 1574 2127 5814 802 1159 236 358 1464 471 2586 455 1003 164 4352 981 9263 1307 833 119096 18200 11126 1131 349 7282 1289 704 223 180 9489 1798 922 220 4755 739 556 ,NA,NA,,
