"hmdbID","CompoundWithTMS","RT_min","RT","RI","Intensity","MatchFactor","RI.Similarity","Corr.Spearman","matchMZrate","matchMZnum","sampleMZnum","TScore","Area","RT.start","RT.end","peakType"
"HMDB00187","Serine (2TMS)","15.299","917.918","1276.605","159384","239.009","97.77","30.21","49.72","88","98","51.58","34680046","15.108","15.489","SKEWED"
"HMDB00187","Serine (2TMS)","15.324","919.445","1277.531","155815","242.452","96.57","19.43","44.63","79","88","48.9","33901994","15.133","15.515","SKEWED"
"HMDB00187","Serine (2TMS)","15.388","923.262","1279.839","153727","189.379","93.57","25.17","44.07","78","88","46.43","33449150","15.197","15.579","SKEWED"
"HMDB00187","Serine (2TMS)","15.451","927.079","1282.138","205041","215.687","90.59","33.62","56.5","100","110","52.84","44614461","15.26","15.642","SKEWED"
"HMDB00687","Leucine (2TMS)","15.509","930.515","1284.199","154679","312.881","92.6","24.97","50","92","96","52.91","33654825","15.318","15.699","SKEWED"
"HMDB00687","Leucine (2TMS)","15.528","931.66","1284.885","153348","309.499","93.49","23.96","51.63","95","98","53.8","33366685","15.337","15.719","SKEWED"
"HMDB00687","Leucine (2TMS)","15.54","932.423","1285.341","152519","313.385","94.09","27.09","46.74","86","88","51.59","33184855","15.35","15.731","SKEWED"
"HMDB00687","Leucine (2TMS)","15.585","935.095","1286.935","151502","320.734","96.16","31.4","50.54","93","96","54.13","32963578","15.394","15.776","SKEWED"
"HMDB00687","Leucine (2TMS)","15.604","936.241","1287.618","149262","320.269","97.05","25.4","50","92","94","54.02","32476202","15.413","15.795","SKEWED"
"HMDB00687","Leucine (2TMS)","15.617","937.004","1288.071","148611","315.747","97.63","36.02","44.02","81","84","51.01","32335970","15.426","15.808","SKEWED"
"HMDB00687","Leucine (2TMS)","15.636","938.149","1288.752","148584","123.191","98.52","23.5","47.83","88","90","47.31","32330095","15.445","15.827","SKEWED"
"HMDB02142","Phosphoric acid ","15.75","945.02","1292.818","207979","461.278","99.98","23.48","44.4","111","116","56.03","45253735","15.559","15.941","SKEWED"
"HMDB00687","Leucine (2TMS)","15.82","949.219","1295.288","457627","387.72","93.07","46.67","64.67","119","136","62.58","14907148","15.782","15.865","NORMAL"
"HMDB02142","Phosphoric acid ","15.897","953.8","1297.971","175018","173.433","93.36","10.45","42","105","113","44.87","38081817","15.706","16.088","SKEWED"
"HMDB02142","Phosphoric acid ","15.909","954.563","1298.416","169994","168.649","92.79","25.98","40","100","109","43.62","36987040","15.719","16.1","SKEWED"
"HMDB02142","Phosphoric acid ","15.922","955.327","1298.862","167716","178.366","92.22","14.98","39.2","98","104","43.39","36491396","15.731","16.113","SKEWED"
"HMDB00162","Proline (2TMS)","16.081","964.87","1305.782","154397","472.872","95.38","65.39","49.47","94","98","58","33594934","15.89","16.272","SKEWED"
"HMDB00162","Proline (2TMS)","16.119","967.16","1307.518","150660","462.328","97.6","59.36","46.84","89","96","56.81","32781808","15.928","16.31","SKEWED"
"HMDB00162","Proline (2TMS)","16.158","969.451","1309.251","150591","474.921","99.81","60.83","47.89","91","95","58.16","32765364","15.967","16.348","SKEWED"
"HMDB00172","Isoleucine (2TMS)","16.272","976.322","1314.422","150532","301.424","94.9","20.17","44.55","90","97","50.3","32752527","16.081","16.463","SKEWED"
"HMDB00123","Glycine (3TMS)","16.425","985.483","1321.26","224205","477.621","98.56","34.59","57.59","110","129","62.84","48784318","16.234","16.616","SKEWED"
"HMDB00123","Glycine (3TMS)","16.501","990.064","1324.656","147480","140.373","97.16","14.93","47.64","91","102","47.47","32095482","16.31","16.692","SKEWED"
"HMDB00254","Succinic acid ","16.603","996.171","1329.158","162539","185.548","98.3","31.23","50","105","109","50.23","35361904","16.412","16.794","SKEWED"
"HMDB00254","Succinic acid ","16.616","996.935","1329.72","160458","188.404","97.59","25.92","49.52","104","109","49.93","34918308","16.425","16.806","SKEWED"
"HMDB00254","Succinic acid ","16.717","1003.04","1334.19","239488","260.829","92.02","30.99","49.05","103","144","50.75","52100614","16.527","16.908","SKEWED"
"HMDB00267","Pyroglutamic acid","20.98","1258.8","1528.795","370569","198.696","94","21.99","66.37","148","171","57.94","12250760","20.936","21.024","NORMAL"
"HMDB00508","Ribitol","25.325","1519.51","1760.151","18142402","809.044","99.67","99.61","97.14","272","280","92.78","623490245","25.255","25.516","NORMAL"
"HMDB00067","Cholesterol","43.718","2623.08","3148.743","147300","621.531","93.04","53.26","46.96","139","140","60.73","32059109","43.527","43.909","SKEWED"
"HMDB00067","Cholesterol","43.763","2625.75","3152.93","148921","607.797","95.26","52.99","46.62","138","140","60.6","32397764","43.572","43.953","SKEWED"
"HMDB00067","Cholesterol","43.858","2631.48","3161.902","151177","600.632","100","48.09","49.66","147","149","62.85","32902918","43.667","44.049","SKEWED"
"HMDB00067","Cholesterol","43.89","2633.38","3164.873","153405","598.714","98.43","50.11","47.64","141","142","61.46","33373258","43.699","44.081","SKEWED"
"HMDB00067","Cholesterol","43.915","2634.91","3167.264","155144","606.987","97.18","50.57","48.31","143","144","61.8","33751577","43.724","44.106","SKEWED"
"HMDB00067","Cholesterol","43.941","2636.44","3169.653","158031","598.826","95.92","47.65","47.97","142","145","61.14","34379644","43.75","44.131","SKEWED"
"HMDB00067","Cholesterol","43.966","2637.96","3172.026","158567","597.148","94.68","49.62","49.32","146","149","61.51","34511315","43.775","44.157","SKEWED"
"HMDB00067","Cholesterol","44.017","2641.02","3176.797","164767","610.333","92.18","54.92","49.66","147","150","61.58","35845061","43.826","44.208","SKEWED"
